Rk,Player,HR,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Player-additional
96,AJ Pollock,14,2022,34,CHW,AL,138,527,489,61,120,79,26,1,14,56,3,1,32,98,.245,.292,.389,.681,91,190,13,2,0,4,0,*789/H,polloaj01
97,Jesse Winker,14,2022,28,SEA,AL,136,547,456,51,100,71,15,0,14,53,0,0,84,103,.219,.344,.344,.688,103,157,8,4,0,3,1,*7D/H,winkeje01
98,Christian Yelich,14,2022,30,MIL,NL,154,671,575,99,145,102,25,4,14,57,19,3,88,162,.252,.355,.383,.738,111,220,9,5,1,2,5,*7D/H,yelicch01
99,Alec Bohm,13,2022,25,PHI,NL,152,631,586,79,164,124,24,3,13,72,2,3,31,110,.280,.315,.398,.713,100,233,18,4,0,10,1,*53/DH,bohmal01
100,Mark Canha,13,2022,33,NYM,NL,140,542,462,71,123,86,24,0,13,61,3,1,48,97,.266,.367,.403,.770,122,186,3,28,0,4,1,*7H8/9D35,canhama01
101,Nick Castellanos,13,2022,30,PHI,NL,136,558,524,56,138,98,27,0,13,62,7,1,29,130,.263,.305,.389,.694,95,204,15,3,0,2,0,*9D/7H,casteni01
102,Tommy Edman,13,2022,27,STL,NL,153,630,577,95,153,105,31,4,13,57,32,3,46,111,.265,.324,.400,.725,108,231,10,5,1,1,2,46/5H98,edmanto01
103,Jorge Mateo,13,2022,27,BAL,AL,150,533,494,63,109,64,25,7,13,50,35,9,27,147,.221,.267,.379,.646,81,187,8,5,3,2,0,*6/H,mateojo01
104,Brendan Rodgers,13,2022,25,COL,NL,137,581,527,72,140,94,30,3,13,63,0,0,46,101,.266,.325,.408,.733,96,215,25,3,0,5,0,*4/D,rodgebr02
105,Justin Turner,13,2022,37,LAD,NL,128,532,468,61,130,81,36,0,13,81,3,0,50,89,.278,.350,.438,.788,116,205,13,6,0,8,1,5D/H,turneju01
106,Gio Urshela,13,2022,30,MIN,AL,144,551,501,61,143,100,27,3,13,64,1,0,41,96,.285,.338,.429,.767,121,215,21,2,0,7,2,*5/DH6,urshegi01
107,DJ LeMahieu,12,2022,33,NYY,AL,125,541,467,74,122,92,18,0,12,46,4,3,67,71,.261,.357,.377,.734,111,176,12,4,1,2,0,543/HD,lemahdj01
108,Ketel Marte,12,2022,28,ARI,NL,137,558,492,68,118,62,42,2,12,52,5,1,55,101,.240,.321,.407,.727,106,200,12,6,0,5,3,4D/H,marteke01
109,Ha-Seong Kim,11,2022,26,SDP,NL,150,582,517,58,130,87,29,3,11,59,12,2,51,100,.251,.325,.383,.708,107,198,9,7,3,4,0,*65/H,kimha01
110,Whit Merrifield,11,2022,33,KCRTOR,AL,139,550,504,70,126,86,28,1,11,58,16,5,38,85,.250,.298,.375,.673,90,189,11,0,0,8,0,498/H7D31,merriwh01
111,Amed Rosario,11,2022,26,CLE,AL,153,670,637,86,180,134,26,9,11,71,18,4,25,111,.283,.312,.403,.715,106,257,19,4,0,4,0,*6/7DH,rosaram01
112,Jonathan Schoop,11,2022,30,DET,AL,131,510,481,48,97,62,23,1,11,38,5,0,19,107,.202,.239,.322,.561,62,155,15,6,0,4,1,*4/3HD,schoojo01
113,Alex Verdugo,11,2022,26,BOS,AL,152,644,593,75,166,115,39,1,11,74,1,3,42,86,.280,.328,.405,.732,102,240,14,3,0,6,2,*79/DH,verdual01
114,Nelson Cruz,10,2022,41,WSN,NL,124,507,448,50,105,79,16,0,10,64,4,0,49,119,.234,.313,.337,.651,90,151,16,4,0,3,1,*D/H,cruzne02
115,Nico Hoerner,10,2022,25,CHC,NL,135,517,481,60,135,98,22,5,10,55,20,2,28,57,.281,.327,.410,.736,107,197,11,6,0,2,4,*6/H5D,hoernni01
116,Yandy Díaz,9,2022,30,TBR,AL,137,558,473,71,140,98,33,0,9,57,3,3,78,60,.296,.401,.423,.824,143,200,10,6,0,1,2,53DH,diazya01
117,Jeff McNeil,9,2022,30,NYM,NL,148,589,533,73,174,125,39,1,9,62,4,0,40,61,.326,.382,.454,.836,140,242,6,11,0,5,1,479/DH5,mcneije01
118,Josh Rojas,9,2022,28,ARI,NL,125,510,443,66,119,84,25,1,9,56,23,3,55,98,.269,.349,.391,.739,111,173,7,2,5,5,2,54/HD,rojasjo01
119,Luis Arraez,8,2022,25,MIN,AL,144,603,547,88,173,133,31,1,8,49,4,4,50,43,.316,.375,.420,.795,130,230,6,3,0,3,2,34DH/5,arraelu01
120,Yuli Gurriel,8,2022,38,HOU,AL,146,584,545,53,132,84,40,0,8,53,8,0,30,73,.242,.288,.360,.647,84,196,13,6,0,3,0,*3/DH,gourryu01
121,Ke'Bryan Hayes,7,2022,25,PIT,NL,136,560,505,55,123,89,24,3,7,41,20,5,48,122,.244,.314,.345,.659,87,174,12,5,0,2,0,*5/H6D,hayeske01
122,Tony Kemp,7,2022,30,OAK,AL,147,558,497,61,117,84,24,2,7,46,11,1,45,69,.235,.307,.334,.641,88,166,5,8,5,3,0,47H/D,kempto01
123,J.P. Crawford,6,2022,27,SEA,AL,145,603,518,57,126,93,24,3,6,42,3,2,68,80,.243,.339,.336,.675,100,174,11,10,2,5,0,*6/H,crawfjp01
124,Steven Kwan,6,2022,24,CLE,AL,147,638,563,89,168,130,25,7,6,52,19,5,62,60,.298,.373,.400,.772,124,225,9,7,2,4,2,*79/8HD,kwanst01
125,Miguel Rojas,6,2022,33,MIA,NL,140,507,471,34,111,84,19,2,6,36,9,3,26,61,.236,.283,.323,.605,72,152,12,6,1,3,1,*63/H,rojasmi02
126,Andrew Benintendi,5,2022,27,KCRNYY,AL,126,521,461,54,140,109,23,3,5,51,8,3,52,77,.304,.373,.399,.772,120,184,7,2,1,5,0,*7/HD,beninan01
127,Isiah Kiner-Falefa,4,2022,27,NYY,AL,142,531,483,66,126,102,20,0,4,48,22,4,35,72,.261,.314,.327,.642,84,158,13,5,3,5,2,*6/5H,kineris01
128,Adam Frazier,3,2022,30,SEA,AL,156,602,541,61,129,100,22,4,3,42,11,6,46,73,.238,.301,.311,.612,80,168,15,5,4,6,1,*497H/D68,fraziad01
129,César Hernández,1,2022,32,WSN,NL,147,617,560,64,139,106,28,4,1,34,10,4,45,114,.248,.311,.318,.629,84,178,9,7,3,2,0,*47/5H,hernace02
130,Myles Straw,0,2022,27,CLE,AL,152,596,535,72,118,93,22,3,0,32,21,1,54,87,.221,.291,.273,.564,65,146,4,1,2,4,0,*8/H,strawmy01
