Rk,Player,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Player-additional
108,Pat Meares,2000,31,PIT,NL,132,514,462,55,111,74,22,2,13,47,1,0,36,91,.240,.305,.381,.685,73,176,13,8,5,3,6,*6/H,mearepa01
109,Bengie Molina,2000,25,ANA,AL,130,513,473,59,133,97,20,2,14,71,1,0,23,33,.281,.318,.421,.739,84,199,17,6,4,7,0,*2/DH,molinbe01
110,Warren Morris,2000,26,PIT,NL,144,606,528,68,137,101,31,2,3,43,7,10,65,78,.259,.341,.343,.684,75,181,7,2,8,3,3,*4H,morriwa02
111,Bill Mueller,2000,29,SFG,NL,153,631,560,97,150,107,29,4,10,55,4,2,52,62,.268,.333,.388,.721,87,217,16,6,7,6,0,*5H/4,muellbi02
112,Phil Nevin,2000,29,SDP,NL,143,605,538,87,163,97,34,1,31,107,2,0,59,121,.303,.374,.543,.916,136,292,17,4,0,4,9,*5/H,nevinph01
113,Trot Nixon,2000,26,BOS,AL,123,502,427,66,118,71,27,8,12,60,8,1,63,85,.276,.368,.461,.830,107,197,11,2,5,5,2,*9H/8D,nixontr01
114,Troy O'Leary,2000,30,BOS,AL,138,563,513,68,134,87,30,4,13,70,0,2,44,76,.261,.320,.411,.731,82,211,12,2,0,4,2,*7/H,o'leatr01
115,Paul O'Neill,2000,37,NYY,AL,142,628,566,79,160,116,26,0,18,100,14,9,51,90,.283,.336,.424,.760,92,240,17,0,0,11,2,*9/DH,o'neipa01
116,José Offerman,2000,31,BOS,AL,116,527,451,73,115,89,14,3,9,41,0,8,70,70,.255,.354,.359,.713,80,162,9,1,2,3,0,43/DH,offerjo01
117,John Olerud,2000,31,SEA,AL,159,683,565,84,161,102,45,0,14,103,0,2,102,96,.285,.392,.439,.831,117,248,17,4,2,10,11,*3/H,olerujo01
118,Magglio Ordóñez,2000,26,CHW,AL,153,665,588,102,185,116,34,3,32,126,18,4,60,64,.315,.371,.546,.917,127,321,28,2,0,15,3,*9/H,ordonma01
119,Eric Owens,2000,29,SDP,NL,145,636,583,87,171,139,19,7,6,51,29,14,45,63,.293,.346,.381,.727,90,222,16,4,0,4,4,*978/H4,owenser01
