Rk,Player,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Player-additional
53,Andrés Galarraga,2000,39,ATL,NL,141,548,494,67,149,95,25,1,28,100,3,5,36,126,.302,.369,.526,.895,123,260,15,17,0,1,5,*3H/D,galaran01
54,Nomar Garciaparra,2000,26,BOS,AL,140,599,529,104,197,122,51,3,21,96,5,2,61,50,.372,.434,.599,1.033,156,317,8,2,0,7,20,*6/HD,garcino01
55,Jason Giambi,2000,29,OAK,AL,152,664,510,108,170,97,29,1,43,137,2,0,137,96,.333,.476,.647,1.123,187,330,9,9,0,8,6,*3D/H,giambja01
56,Brian Giles,2000,29,PIT,NL,156,688,559,111,176,97,37,7,35,123,6,0,114,69,.315,.432,.594,1.026,157,332,15,7,0,8,13,*879/H,gilesbr02
57,Doug Glanville,2000,29,PHI,NL,154,689,637,89,175,134,27,6,8,52,31,8,31,76,.275,.307,.374,.681,71,238,11,2,12,7,1,*8/H,glanvdo01
58,Troy Glaus,2000,23,ANA,AL,159,678,563,120,160,75,37,1,47,102,14,11,112,163,.284,.404,.604,1.008,150,340,14,2,0,1,6,*5/6DH,glaustr01
59,Alex Gonzalez,2000,27,TOR,AL,141,591,527,68,133,85,31,2,15,69,4,4,43,113,.252,.313,.404,.717,78,213,14,4,16,1,0,*6,gonzaal01
60,Luis Gonzalez,2000,32,ARI,NL,162,722,618,106,192,112,47,2,31,114,2,4,78,85,.311,.392,.544,.935,130,336,12,12,2,12,6,*7,gonzalu01
61,Tom Goodwin,2000,31,COLLAD,NL,147,606,528,94,139,113,11,9,6,58,55,10,68,117,.263,.346,.352,.698,69,186,7,1,5,4,2,*8H7,goodwto01
62,Mark Grace,2000,36,CHC,NL,143,621,510,75,143,90,41,1,11,82,1,2,95,28,.280,.394,.429,.824,111,219,7,6,2,8,11,*3/H,gracema01
63,Shawn Green,2000,27,LAD,NL,162,714,610,98,164,92,44,4,24,99,24,5,90,121,.269,.367,.472,.839,116,288,18,8,0,6,9,*9/8H,greensh01
64,Ben Grieve,2000,24,OAK,AL,158,675,594,92,166,98,40,1,27,104,3,0,73,130,.279,.359,.487,.845,116,289,32,3,0,5,2,*7D/H,grievbe01
65,Ken Griffey Jr.,2000,30,CIN,NL,145,631,520,100,141,76,22,3,40,118,6,4,94,117,.271,.387,.556,.942,133,289,7,9,0,8,17,*8/H,griffke02
66,Marquis Grissom,2000,33,MIL,NL,146,640,595,67,145,111,18,2,14,62,20,10,39,99,.244,.288,.351,.640,63,209,9,0,2,4,2,*8/H,grissma02
67,Mark Grudzielanek,2000,30,LAD,NL,148,676,617,101,172,124,35,6,7,49,12,3,45,81,.279,.335,.389,.724,88,240,16,9,2,3,0,*4/H6,grudzma01
68,Vladimir Guerrero,2000,25,MON,NL,154,641,571,101,197,114,28,11,44,123,9,10,58,74,.345,.410,.664,1.074,162,379,15,8,0,4,23,*9/DH,guerrvl01
69,Ricky Gutierrez,2000,30,CHC,NL,125,542,449,73,124,92,19,2,11,56,8,2,66,58,.276,.375,.401,.775,99,180,10,7,16,4,0,*6/H,gutieri01
70,Cristian Guzmán,2000,22,MIN,AL,156,690,631,89,156,103,25,20,8,54,28,10,46,101,.247,.299,.388,.687,70,245,5,2,7,4,1,*6/HD,guzmacr01
71,Jeffrey Hammonds,2000,29,COL,NL,122,511,454,94,152,106,24,2,20,106,14,7,44,83,.335,.395,.529,.924,111,240,11,5,2,6,4,*97/8H,hammoje01
72,Todd Helton,2000,26,COL,NL,160,697,580,138,216,113,59,2,42,147,5,3,103,61,.372,.463,.698,1.162,163,405,12,4,0,10,22,*3/H,heltoto01
